idx,n,steps,inTrust,outTrust,epsilon,sigma,evidenceWeight,truth,CA_spec,EA_spec,avg,std,delta
1,200,365,1.2,0.4,0.02,0,0.02,0.6,0.3,0.3,0.5999392395638385,1.3388893820463768e-15,4.440892098500626e-16
2,200,365,1.2,0.4,0.02,0,0.02,0.6,0.3,0.8,0.5999315321317913,1.290105906699095e-15,5.551115123125783e-16
3,200,365,1.2,0.4,0.02,0,0.02,0.6,0.3,N(0.6,0.5999372421945502,7.930132740886973e-16,5.551115123125783e-16
4,200,365,1.2,0.4,0.02,0,0.02,0.6,0.3,0.15),0.5999433502597108,2.6351605980896872e-15,4.440892098500626e-16
5,200,365,1.2,0.4,0.02,0,0.02,0.6,0.6,0.3,0.5999367778547964,9.715561625060678e-16,4.440892098500626e-16
6,200,365,1.2,0.4,0.02,0,0.02,0.6,0.6,0.8,0.5999340200190878,2.4107183453623283e-15,6.661338147750939e-16
7,200,365,1.2,0.4,0.02,0,0.02,0.6,0.6,N(0.6,0.5999368362465455,2.3546806998609227e-15,5.551115123125783e-16
8,200,365,1.2,0.4,0.02,0,0.02,0.6,0.6,0.15),0.5999359793995469,9.966995900242416e-16,6.661338147750939e-16
9,200,365,1.2,0.4,0.02,0,0.02,0.6,U(0.4,0.3,0.5999342886421316,5.470031774679201e-16,5.551115123125783e-16
10,200,365,1.2,0.4,0.02,0,0.02,0.6,U(0.4,0.8,0.5999364238619054,9.216188625421228e-16,6.661338147750939e-16
11,200,365,1.2,0.4,0.02,0,0.02,0.6,U(0.4,N(0.6,0.5999337058397629,1.3140792196732854e-15,6.661338147750939e-16
12,200,365,1.2,0.4,0.02,0,0.02,0.6,U(0.4,0.15),0.5999402510876731,1.2869970403739253e-15,6.661338147750939e-16
13,200,365,1.2,0.4,0.02,0,0.02,0.6,0.9),0.3,0.5999336423504255,2.6313339671707068e-15,3.3306690738754696e-16
14,200,365,1.2,0.4,0.02,0,0.02,0.6,0.9),0.8,0.5999393052235432,3.762493250920716e-16,9.992007221626409e-16
15,200,365,1.2,0.4,0.02,0,0.02,0.6,0.9),N(0.6,0.5999365848221165,2.2158755531791075e-15,7.771561172376096e-16
16,200,365,1.2,0.4,0.02,0,0.02,0.6,0.9),0.15),0.5999395275345311,1.2184666082947175e-15,6.661338147750939e-16
17,200,365,1.2,0.4,0.02,0,0.02,0.7,0.3,0.3,0.6998773912246463,1.118518704302234e-16,5.551115123125783e-16
18,200,365,1.2,0.4,0.02,0,0.02,0.7,0.3,0.8,0.699871437211672,1.5086578806466627e-15,7.771561172376096e-16
19,200,365,1.2,0.4,0.02,0,0.02,0.7,0.3,N(0.6,0.6998765881164948,2.0568510842540347e-15,3.3306690738754696e-16
20,200,365,1.2,0.4,0.02,0,0.02,0.7,0.3,0.15),0.6998753109613203,2.2597061728446735e-15,5.551115123125783e-16
21,200,365,1.2,0.4,0.02,0,0.02,0.7,0.6,0.3,0.69987253606415,7.3337773349710925e-16,7.771561172376096e-16
22,200,365,1.2,0.4,0.02,0,0.02,0.7,0.6,0.8,0.6998698350102082,2.2941624510965736e-16,7.771561172376096e-16
23,200,365,1.2,0.4,0.02,0,0.02,0.7,0.6,N(0.6,0.6998694281351167,1.2185424755846197e-15,9.992007221626409e-16
