idx,n,steps,in,out,epsilon,sigma,eW,truth,tNoise,tBias,dual,tA,tB,envA,prefA,shockT,shockΔ,bfθ,bfp,bfGain,CA,EA,seed,avg,std,delta,mae,tt_converge
1,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,0.3,0,0.6512080943308003,0.00773491440566831,0.03392981725594013,0.19879190566919946,83
2,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,0.3,1,0.6489687759437923,0.007398390409174523,0.03386444813262346,0.20103122405620744,83
3,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,0.8,0,0.6505418289206685,0.007439341311416022,0.04003328590327404,0.19945817107933161,80
4,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,0.8,1,0.649669105355341,0.007268729546054509,0.03465205800774762,0.200330894644659,83
5,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,N(0.6,0,0.6536594730717785,0.0066621535816070495,0.03290352259862006,0.19634052692822165,85
6,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,N(0.6,1,0.6489851050672268,0.007743605135019491,0.034888890288923835,0.20101489493277303,80
7,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,0.15),0,0.6519161933531217,0.007553359154536975,0.03218755742660773,0.19808380664687822,80
8,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.3,0.15),1,0.6489851050672268,0.007743605135019491,0.034888890288923835,0.20101489493277303,80
9,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,0.3,0,0.6485782556220093,0.005375423871874412,0.021534710116761335,0.20142174437799085,82
10,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,0.3,1,0.648220894677153,0.005340017188753884,0.02144028206876103,0.20177910532284657,82
11,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,0.8,0,0.6470678258826403,0.0056667437980664126,0.02046437628274811,0.20293217411736017,80
12,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,0.8,1,0.6489497908021293,0.005508808826204088,0.021773204695156645,0.20105020919787073,82
13,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,N(0.6,0,0.6519371143958885,0.005535110536857384,0.021445226091438396,0.19806288560411198,81
14,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,N(0.6,1,0.6482098196834246,0.00563464163752437,0.020626970798207078,0.20179018031657517,79
15,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,0.15),0,0.6511414624484277,0.005222354995599516,0.020012988456953873,0.19885853755157235,81
16,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.6,0.15),1,0.6482098196834246,0.00563464163752437,0.020626970798207078,0.20179018031657517,79
17,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,0.3,0,0.6450229238128042,0.005590008127918715,0.020827013879053613,0.20497707618719554,82
18,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,0.3,1,0.6483196087070531,0.005678698485124683,0.023301911530420938,0.20168039129294713,83
19,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,0.8,0,0.6517593046025941,0.005663465923115627,0.023752832605703045,0.19824069539740596,80
20,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,0.8,1,0.6490316213319128,0.005842399782978922,0.024794161894646893,0.2009683786680872,82
21,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,N(0.6,0,0.6504526147461013,0.005466725352889638,0.020742602147603817,0.19954738525389934,76
22,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,N(0.6,1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
23,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,0.15),0,0.6488076945374128,0.005557414791821821,0.023090294381811205,0.2011923054625865,79
24,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,U(0.4,0.15),1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
25,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.9),0.3,0,0.6520071579494295,0.005655456704531491,0.022740364377797695,0.1979928420505706,84
26,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.9),0.3,1,0.6483196087070531,0.005678698485124683,0.023301911530420938,0.20168039129294713,83
27,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.9),0.8,0,0.6509772026042451,0.006023156784963561,0.022130480056367863,0.19902279739575518,82
28,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.9),0.8,1,0.6490316213319128,0.005842399782978922,0.024794161894646893,0.2009683786680872,82
29,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,1,0.9),N(0.6,0,0.6499196880173064,0.00553378716256598,0.023542454387623257,0.2000803119826937,76
